timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1443289855847500,9,18,-1,-1,-2,-1,-2,1
1443289855861505,-2,-8,-1,1,0,-1,1,-1
1443289855861505,-10,-9,-2,0,-1,-2,-1,-2
1443289855863507,0,-1,-1,0,-1,-1,-1,1
1443289855863507,-1,5,1,0,-2,-2,-3,-1
1443289855884523,1,3,-2,-1,-1,-2,-1,1
1443289855884523,-1,-23,-2,-2,-1,3,10,3
1443289855890526,2,16,4,0,-2,-3,-2,-3
1443289855890526,0,6,1,0,-1,1,0,-2
1443289855898532,-2,-20,-8,0,-1,0,-2,-1
1443289855898532,-1,4,-3,-5,-2,-1,-3,-2
1443289855907536,6,1,1,3,0,2,2,1
1443289855907536,-13,-19,-1,2,1,0,-1,-1
1443289855921545,3,19,7,1,-3,0,-2,-1
1443289855921545,-1,-12,0,-1,-1,-1,-1,-1
1443289855923547,-4,2,-4,-3,-1,-2,-3,1
1443289855923547,4,9,1,0,0,-3,-2,-3
1443289855944559,-3,-10,-1,-2,-3,0,-1,-1
1443289855944559,5,5,-1,-3,-1,0,-1,0
1443289855946561,-7,-12,-2,-1,-1,-2,-1,-1
1443289855946561,3,29,-2,-3,-2,-1,-1,0
1443289855958570,-1,-12,-2,-3,0,-2,1,1
1443289855958570,2,8,4,6,1,-3,-1,-1
1443289855967576,-2,-5,-2,-2,-1,-2,-3,-1
1443289855967576,-4,-4,1,2,-1,0,0,1
1443289855982584,1,4,2,0,0,0,-1,0
1443289855982584,-5,-1,-1,-3,-2,-2,-3,-2
1443289855983586,-4,-13,-5,-4,-2,-3,1,-2
1443289855983586,0,-5,0,-1,1,1,-1,0
1443289856004608,2,1,-3,-1,1,-2,0,-1
1443289856004608,-1,2,4,3,0,0,-2,-3
1443289856006601,6,8,0,-2,-3,-1,-1,-3
1443289856006601,-7,-10,-2,-6,-1,-2,-1,-1
1443289856018609,-1,-12,-3,2,-2,0,-3,-1
1443289856018609,-2,-4,-2,0,-1,-2,2,0
1443289856027614,-1,2,2,-2,0,1,-1,-1
1443289856027614,0,-6,-3,0,-1,-1,0,-1
